id,text
txt001,The government has announced a new tax reform to reduce inequality.
txt002,A major cyber attack has compromised user data from several companies.
txt003,Hospitals are overwhelmed due to a spike in COVID-19 cases.
txt004,The recent floods caused by heavy rains displaced thousands of people.
txt005,The president met with international leaders to discuss climate change.
txt006,A local startup is developing an innovative AI-powered medical assistant.
txt007,Police have launched an investigation into a large-scale financial fraud.
txt008,Teachers are protesting for better wages and improved school facilities.
txt009,A new law was passed to regulate the use of facial recognition technology.
txt010,Environmental groups are raising concerns about deforestation in the Amazon.
