source_text,question,answer,embedding_text
"{'text': 'The Great Barrier Reef, located off the coast of Australia, is the largest coral reef system in the world. It spans over 2,300 kilometers and is home to thousands of marine species. The reef is visible from space and is a UNESCO World Heritage Site.'}",What is the total length of the Great Barrier Reef?,"Over 2,300 kilometers",What is the total length of the Great Barrier Reef?
"{'text': 'The Great Barrier Reef, located off the coast of Australia, is the largest coral reef system in the world. It spans over 2,300 kilometers and is home to thousands of marine species. The reef is visible from space and is a UNESCO World Heritage Site.'}",What makes the Great Barrier Reef unique?,It is the largest coral reef system in the world.,What makes the Great Barrier Reef unique?
"{'text': 'The Great Barrier Reef, located off the coast of Australia, is the largest coral reef system in the world. It spans over 2,300 kilometers and is home to thousands of marine species. The reef is visible from space and is a UNESCO World Heritage Site.'}",What can be seen from space?,The Great Barrier Reef,What can be seen from space?
"{'text': 'The Great Barrier Reef, located off the coast of Australia, is the largest coral reef system in the world. It spans over 2,300 kilometers and is home to thousands of marine species. The reef is visible from space and is a UNESCO World Heritage Site.'}",What is the Great Barrier Reef's status in terms of global recognition?,It is a UNESCO World Heritage Site.,What is the Great Barrier Reef's status in terms of global recognition?
"{'text': 'The Great Barrier Reef, located off the coast of Australia, is the largest coral reef system in the world. It spans over 2,300 kilometers and is home to thousands of marine species. The reef is visible from space and is a UNESCO World Heritage Site.'}",How many marine species call the Great Barrier Reef home?,Thousands,How many marine species call the Great Barrier Reef home?
{'text': 'Photosynthesis is the process by which green plants and some bacteria convert sunlight into chemical energy. It occurs mainly in the chloroplasts of plant cells and produces oxygen as a byproduct. This process is essential for life on Earth.'},What is the primary process that green plants and some bacteria perform using sunlight?,They convert sunlight into chemical energy.,What is the primary process that green plants and some bacteria perform using sunlight?
{'text': 'Photosynthesis is the process by which green plants and some bacteria convert sunlight into chemical energy. It occurs mainly in the chloroplasts of plant cells and produces oxygen as a byproduct. This process is essential for life on Earth.'},Where does photosynthesis primarily occur in plant cells?,In the chloroplasts.,Where does photosynthesis primarily occur in plant cells?
{'text': 'Photosynthesis is the process by which green plants and some bacteria convert sunlight into chemical energy. It occurs mainly in the chloroplasts of plant cells and produces oxygen as a byproduct. This process is essential for life on Earth.'},What is the main byproduct of photosynthesis?,Oxygen.,What is the main byproduct of photosynthesis?
{'text': 'Photosynthesis is the process by which green plants and some bacteria convert sunlight into chemical energy. It occurs mainly in the chloroplasts of plant cells and produces oxygen as a byproduct. This process is essential for life on Earth.'},Why is photosynthesis considered essential for life on Earth?,It is the primary means by which organisms produce food and release oxygen into the atmosphere.,Why is photosynthesis considered essential for life on Earth?
{'text': 'Photosynthesis is the process by which green plants and some bacteria convert sunlight into chemical energy. It occurs mainly in the chloroplasts of plant cells and produces oxygen as a byproduct. This process is essential for life on Earth.'},What are the two main components involved in the process of photosynthesis?,Sunlight and carbon dioxide.,What are the two main components involved in the process of photosynthesis?
{'text': 'The Internet of Things (IoT) refers to the network of interconnected devices that can collect and exchange data. These devices range from smart home appliances to industrial sensors. IoT is transforming industries by enabling real-time monitoring and automation.'},What is the Internet of Things (IoT)?,The Internet of Things (IoT) is a network of interconnected devices that can collect and exchange data.,What is the Internet of Things (IoT)?
{'text': 'The Internet of Things (IoT) refers to the network of interconnected devices that can collect and exchange data. These devices range from smart home appliances to industrial sensors. IoT is transforming industries by enabling real-time monitoring and automation.'},What types of devices are part of the IoT?,The IoT includes devices like smart home appliances and industrial sensors.,What types of devices are part of the IoT?
{'text': 'The Internet of Things (IoT) refers to the network of interconnected devices that can collect and exchange data. These devices range from smart home appliances to industrial sensors. IoT is transforming industries by enabling real-time monitoring and automation.'},What are the key benefits of IoT for industries?,"IoT enables real-time monitoring and automation, transforming industries.",What are the key benefits of IoT for industries?
{'text': 'The Internet of Things (IoT) refers to the network of interconnected devices that can collect and exchange data. These devices range from smart home appliances to industrial sensors. IoT is transforming industries by enabling real-time monitoring and automation.'},What kind of data can IoT devices collect and exchange?,"IoT devices can collect and exchange data relevant to their function, such as temperature, pressure, or usage patterns.",What kind of data can IoT devices collect and exchange?
{'text': 'The Internet of Things (IoT) refers to the network of interconnected devices that can collect and exchange data. These devices range from smart home appliances to industrial sensors. IoT is transforming industries by enabling real-time monitoring and automation.'},How does IoT enable automation?,IoT enables automation by allowing devices to communicate and respond to each other without human intervention.,How does IoT enable automation?
{'text': 'Vaccines work by training the immune system to recognize and fight specific pathogens. They contain harmless parts of the virus or bacteria they protect against. Widespread vaccination has helped eradicate diseases like smallpox.'},What is the primary function of vaccines?,Vaccines train the immune system to recognize and fight specific pathogens.,What is the primary function of vaccines?
{'text': 'Vaccines work by training the immune system to recognize and fight specific pathogens. They contain harmless parts of the virus or bacteria they protect against. Widespread vaccination has helped eradicate diseases like smallpox.'},What do vaccines contain?,Vaccines contain harmless parts of the virus or bacteria they protect against.,What do vaccines contain?
{'text': 'Vaccines work by training the immune system to recognize and fight specific pathogens. They contain harmless parts of the virus or bacteria they protect against. Widespread vaccination has helped eradicate diseases like smallpox.'},What is one example of a disease that has been eradicated due to widespread vaccination?,Smallpox,What is one example of a disease that has been eradicated due to widespread vaccination?
{'text': 'Vaccines work by training the immune system to recognize and fight specific pathogens. They contain harmless parts of the virus or bacteria they protect against. Widespread vaccination has helped eradicate diseases like smallpox.'},What is the benefit of widespread vaccination?,Widespread vaccination has helped eradicate diseases.,What is the benefit of widespread vaccination?
{'text': 'Vaccines work by training the immune system to recognize and fight specific pathogens. They contain harmless parts of the virus or bacteria they protect against. Widespread vaccination has helped eradicate diseases like smallpox.'},What is the immune system's role in the process of vaccination?,The immune system's role is to recognize and fight specific pathogens after vaccination.,What is the immune system's role in the process of vaccination?
"{'text': 'The water cycle describes how water moves through the environment via evaporation, condensation, precipitation, and runoff. It plays a key role in regulating Earth’s climate. Human activities like deforestation can disrupt this cycle.'}",What are the main processes involved in the water cycle?,"Evaporation, condensation, precipitation, and runoff.",What are the main processes involved in the water cycle?
"{'text': 'The water cycle describes how water moves through the environment via evaporation, condensation, precipitation, and runoff. It plays a key role in regulating Earth’s climate. Human activities like deforestation can disrupt this cycle.'}",How does the water cycle influence Earth's climate?,It plays a key role in regulating Earth’s climate.,How does the water cycle influence Earth's climate?
"{'text': 'The water cycle describes how water moves through the environment via evaporation, condensation, precipitation, and runoff. It plays a key role in regulating Earth’s climate. Human activities like deforestation can disrupt this cycle.'}",What is one human activity that can disrupt the water cycle?,Deforestation,What is one human activity that can disrupt the water cycle?
"{'text': 'The water cycle describes how water moves through the environment via evaporation, condensation, precipitation, and runoff. It plays a key role in regulating Earth’s climate. Human activities like deforestation can disrupt this cycle.'}",What happens to the water cycle when there is less forest cover due to deforestation?,It can be disrupted.,What happens to the water cycle when there is less forest cover due to deforestation?
"{'text': 'The water cycle describes how water moves through the environment via evaporation, condensation, precipitation, and runoff. It plays a key role in regulating Earth’s climate. Human activities like deforestation can disrupt this cycle.'}","What are the primary stages of the water cycle, in order?","Evaporation, condensation, precipitation, and runoff.","What are the primary stages of the water cycle, in order?"
"{'text': 'The Industrial Revolution, which began in the 18th century, marked a shift from agrarian societies to industrialized ones. It introduced machinery, factories, and mass production. This era greatly increased productivity and urbanization.'}",When did the Industrial Revolution begin?,The Industrial Revolution began in the 18th century.,When did the Industrial Revolution begin?
